freshblood,divison,veteran,wins,losses,playerID,playerName,inactive,hotstreak,leaguePoints
False,I,False,103,85,32233408,RubADub3Men1Tub,False,False,75
True,I,False,90,80,23055302,LimitedExtent,False,False,58
True,I,False,125,111,28903785,YummiBananas,False,False,227
True,I,False,124,104,20461580,UgotWreck3d,False,True,65
False,I,False,71,60,31271272,Pseudo,False,False,139
True,I,False,52,37,62250480,Apdo dogjj,False,False,66
False,I,False,75,68,83039211,Oorìx,False,False,99
False,I,False,87,78,50759303,Hi lm Joshie,False,False,4
True,I,False,95,85,21747804,Yami,False,False,176
True,I,False,156,144,34287847,Liquid fabbbyyy,False,False,239
False,I,False,133,117,22623566,Muchkin,False,False,155
False,I,False,51,36,21429782,VoidIncarnated,False,True,98
True,I,False,156,136,22048236,Ôtt,False,False,19
True,I,False,69,52,32294661,SorakaLulu,False,True,45
True,I,False,110,92,35453953,Schnell Run,False,False,0
True,I,False,94,88,22200455,Genthix,False,False,0
False,I,False,73,53,25241660,wc Hero,False,False,232
True,I,False,64,39,22707996,Elayra,False,False,11
False,I,True,168,149,19534901,Darvec,False,False,195
False,I,False,194,168,26686436,Etiolate,False,True,211
True,I,False,92,69,606361,Kic,False,False,0
False,I,False,49,31,78450467,ArnKC,False,False,0
True,I,False,133,114,40279866,Kurum1,False,True,220
True,I,False,71,52,30255016,TheeBrandini,False,False,224
False,I,False,102,96,26851284,Liquid Painless,False,False,60
True,I,False,93,75,36400685,crisPfox,False,False,243
False,I,False,116,101,27812058,Nhock,False,False,152
False,I,False,65,35,41216586,Finkypop,False,True,217
True,I,False,206,180,81592523,P1 Pirean,False,True,90
True,I,False,121,106,36931875,My Kat Evolved,False,False,84
True,I,False,168,140,47429312,i am badeed,False,False,0
False,I,False,84,65,29730409,iRicky,False,False,9
False,I,False,78,62,45473130,creamwithice,False,True,248
False,I,False,95,81,20024227,Romanium,False,True,188
False,I,False,190,177,78842632,K1ting,False,False,49
False,I,False,85,74,63653079,O My Money,False,False,93
True,I,False,78,54,73160759,gneV,False,False,136
True,I,False,137,121,23495845,Mister Wubz,False,False,37
False,I,False,99,87,72743218,Tsui Wah ,False,False,85
False,I,False,86,69,55815684,Deweyyy,False,False,116
True,I,False,81,63,35502053,Kachu,False,False,0
True,I,False,78,57,32929410,Lord Zxyc,False,False,0
False,I,False,210,194,38809624,Sophist Sage,False,False,178
True,I,False,78,40,71350203,TSB Ethiridis,False,True,78
True,I,False,197,103,53827924,Bot Lane Antics,False,False,0
False,I,False,101,86,32578662,jìmmy,False,False,111
False,I,False,46,31,80659165,jungling sucks,False,False,163
False,I,False,83,67,22298866,Lantern Bott,False,False,84
False,I,False,55,35,71799785,Shimi,False,False,0
True,I,False,152,141,76693312,xxxVOLIBEARxx,False,False,15
True,I,False,203,185,66571074,simple is best,False,False,52
False,I,False,190,176,77371699,Joyul,False,False,148
True,I,False,85,74,23658386,TechnoJihad,False,False,12
False,I,False,70,54,19812679,Lava,False,False,93
True,I,False,166,154,21847981,Suntail,False,False,149
True,I,False,82,64,40835255,BOB MCFREEWIN,False,False,39
False,I,False,58,29,24415109,Mama Zer0,False,False,68
False,I,False,55,39,69709179,chelly,False,False,138
True,I,False,77,56,26251353,4 hisa,False,False,226
True,I,False,167,148,47101969,TiboPino,False,False,0
True,I,False,148,141,31296001,09 12 2015,False,False,0
False,I,False,86,63,21912166,Behindthedoor,False,False,118
False,I,False,55,43,19761072,Xmithie,False,False,47
True,I,False,65,55,68469260,B0dydrop,False,False,0
False,I,False,119,104,47212115,Tàctical,False,False,161
True,I,False,78,64,21705950,Ghalvz,False,False,0
False,I,False,115,106,27253842,andtheknee,False,False,139
False,I,False,91,72,28880869,Y0UNGBIN,False,False,14
False,I,False,86,53,82779239,ET Nomad 1,False,False,147
False,I,False,104,85,30222111,DoctorLe,False,False,30
True,I,False,192,171,20920347,H4xDefender,False,False,136
False,I,False,92,83,25880323,impala tamer,False,False,59
True,I,False,65,46,44979352,Short Dog,False,False,204
True,I,False,83,53,36393971,JuIy,False,True,158
False,I,False,117,105,35461932,S DlANA 2,False,False,67
True,I,False,201,191,38841069,Ikzencriel,False,False,37
False,I,False,98,77,20006875,bulgarian jg  ,False,True,229
False,I,False,120,99,70039590,Van Ðarkholme,False,False,23
False,I,False,58,38,21014987,lron Pyrite,False,False,184
True,I,False,146,134,28840804,Dr Saline PhD,False,False,0
False,I,False,215,200,59189004,aShady,False,False,248
False,I,False,144,117,55818944,biggestmanboobna,False,False,96
False,I,True,301,291,19959767,Rhux,False,False,79
False,I,False,63,47,33359979,21 10,False,False,175
True,I,False,184,169,28909573,Firé,False,False,22
True,I,False,261,237,23129170,Twisted Fâte,False,False,27
True,I,False,141,121,59950029,Green Awakening,False,False,129
True,I,False,115,94,22203340,Bôom,False,False,71
False,I,True,150,142,19451735,daduu,False,False,101
False,I,False,75,61,19218323,wolverene,False,False,0
False,I,False,158,135,27409706,Vultix,False,False,197
True,I,False,67,44,65389101,Keané,False,False,249
True,I,False,133,125,20072604,Abou222,False,False,108
False,I,False,87,74,36119978,Kazahana,False,False,188
True,I,False,53,35,40272268,cackgod,False,False,24
False,I,False,47,32,40220617,Lobo Solitarió,False,False,109
False,I,False,120,91,43873947,Boyyyyyyyyyyyyyy,False,False,199
True,I,False,102,66,64359091,Senbonzakuraa,False,False,53
True,I,False,132,111,22588908,Trigger Slinger ,False,False,27
True,I,False,66,47,45027747,NoWardsGG,False,False,56
False,I,False,94,77,45164529,ImLightUrShadow,False,False,60
True,I,False,94,77,71715,TSM MeNoHaxor,False,False,235
True,I,False,70,53,24858283,value,False,False,257
False,I,False,97,83,38342712,Látte,False,False,32
True,I,False,64,49,27380863,ThatOneGuy,False,False,3
True,I,False,171,149,48240600,Azrael Olaf,False,False,25
True,I,False,106,95,20142680,freelancer,False,False,185
False,I,False,90,76,20387972,greenléaf,False,False,3
True,I,False,220,199,41216897,bvcx222,False,False,224
False,I,False,57,48,24295656,WinWinBae,False,False,10
True,I,False,46,18,83089576,Chasér ,False,False,148
True,I,False,115,97,19955340,Lockdown,False,True,61
True,I,False,90,58,46226392,Chicken2013,False,True,0
True,I,False,63,46,31481913,Jiä,False,True,105
False,I,False,75,61,492066,C9 Hai,False,False,249
True,I,False,192,183,47522700,Jeehun,False,False,50
True,I,False,196,181,44503099,emV,False,False,0
False,I,False,49,30,79902609,KiwiPlum,False,False,0
False,I,False,127,111,29773406,Tonington,False,False,184
False,I,False,65,50,77272800,Àçé,False,False,170
